0,1.086375464
1,1.098849763
2,1.106019512
3,1.108905936
4,1.108415232
5,1.105323199
6,1.100273619
7,1.093786104
8,1.086269802
9,1.078040071
10,1.069335853
11,1.060336150
12,1.051174546
13,1.041951264
14,1.032742601
15,1.023607918
16,1.014594530
17,1.005740953
18,0.997078932
19,0.988634684
20,0.980429636
21,0.972480914
22,0.964801708
23,0.957401597
24,0.950286856
25,0.943460772
26,0.936923948
27,0.930674592
28,0.924708800
29,0.919020813
30,0.913603259
31,0.908447388
32,0.903543287
33,0.898880095
34,0.894446201
35,0.890229447
36,0.886217315
37,0.882397112
38,0.878756135
39,0.875281835
40,0.871961952
41,0.868784648
42,0.865738606
43,0.862813125
44,0.859998184
45,0.857284495
46,0.854663537
47,0.852127571
48,0.849669642
49,0.847283570
50,0.844963918
51,0.842705964
52,0.840505647
53,0.838359512
54,0.836264651
55,0.834218633
56,0.832219433
57,0.830265358
58,0.828354984
59,0.826487083
60,0.824660568
61,0.822874436
62,0.821127737
63,0.819419484
64,0.817748891
65,0.816113938
66,0.814519485
67,0.812927929
68,0.811576905
69,0.808813787
70,0.816864828
71,0.748327405
72,1.276012086
73,0.594278875
74,2.504531200
75,0.607268507
76,0.681782880
77,0.749739446
78,0.785790137
79,0.800579312
80,0.805696009
81,0.807182529
82,0.807487671
83,0.807456530
84,0.807340699
85,0.807203602
86,0.807058168
87,0.806906260
88,0.806747885
89,0.806582833
90,0.806410880
91,0.806231797
92,0.806045357
