0,0.740340031
1,0.726816074
2,0.727975270
3,0.735703246
4,0.750386399
5,0.758500773
6,0.764296754
7,0.773183926
8,0.781298300
9,0.787094281
10,0.795208655
11,0.802163833
12,0.811823802
13,0.821097372
14,0.826506955
15,0.829984544
16,0.836553323
17,0.845054096
18,0.850850077
19,0.856259660
20,0.863601236
21,0.868238022
22,0.872102009
23,0.877897991
24,0.882148377
25,0.884853168
26,0.887557960
27,0.891421947
28,0.893740340
29,0.895672334
30,0.897604328
31,0.898763524
32,0.899922720
33,0.902627512
34,0.904945904
35,0.907264297
36,0.909196291
37,0.912673879
38,0.914605873
39,0.916151468
40,0.918856260
41,0.919629057
42,0.923106646
43,0.924652241
44,0.925811437
45,0.927743431
46,0.928516229
47,0.929289026
48,0.930834621
49,0.931221020
50,0.933539413
51,0.935085008
52,0.937017002
53,0.938948995
54,0.939335394
55,0.939721793
56,0.942040185
57,0.944744977
58,0.945131376
59,0.947449768
60,0.949381762
61,0.951313756
62,0.953245750
63,0.955177743
64,0.957496136
65,0.958268934
66,0.961746522
67,0.964064915
68,0.966383308
69,0.969088099
70,0.968701700
71,0.966383308
72,0.562596600
73,0.646058733
74,0.411514683
75,0.660741886
76,0.852009274
77,0.965610510
78,0.971020093
79,0.971792890
80,0.972179289
81,0.971020093
82,0.971020093
83,0.971020093
84,0.971792890
85,0.971792890
86,0.971792890
87,0.971792890
88,0.971792890
89,0.971792890
90,0.971792890
91,0.971792890
92,0.972179289
